[Wed May 08 00:17:01.428232 2024] [php7:warn] [pid 168561] [client 23.88.105.37:15516] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:17:01.428277 2024] [php7:warn] [pid 168561] [client 23.88.105.37:15516] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:17:01.428289 2024] [php7:notice] [pid 168561] [client 23.88.105.37:15516] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:17:01.428298 2024] [php7:notice] [pid 168561] [client 23.88.105.37:15516] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:18:01.332077 2024] [php7:warn] [pid 168485] [client 23.88.105.37:31108] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:18:01.332125 2024] [php7:warn] [pid 168485] [client 23.88.105.37:31108] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:18:01.332139 2024] [php7:notice] [pid 168485] [client 23.88.105.37:31108] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:18:01.332148 2024] [php7:notice] [pid 168485] [client 23.88.105.37:31108] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:18:01.630139 2024] [php7:notice] [pid 168588] [client 116.203.134.67:25776] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:18:01.630203 2024] [php7:notice] [pid 168588] [client 116.203.134.67:25776] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:18:01.630211 2024] [php7:notice] [pid 168588] [client 116.203.134.67:25776] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
