Application ID,Loan No,Repaid Date,Mpesa Code,Amount,Balance
K40018,2,5/30/2023,REU7SE0C5D,9750,0
K40018,3,6/26/2023,RFQ3ZO52U7,13000,0
K40018,4,7/9/2023,RG975LG1VD,1500,"14100"
K40018,4,7/10/2023,RGA18IJBSH,700,"13400"
K40018,4,7/12/2023,RGC0DI8YFM,1500,"11900"
K40018,4,7/14/2023,RGE4I03A6C,2000,"9900"
K40018,4,7/14/2023,RGE3JRUVBP,1000,"8900"
K40018,4,7/24/2023,RGO9B8XCVJ,8900,0
K40019,1,4/17/2023,RDH3CYYNT1,3000,"10600"
K40019,1,5/3/2023,RE30L44TMA,3000,"7600"
K40019,1,5/3/2023,RE38NXK994,4000,"3600"
K40019,1,5/16/2023,REG9OOFVZP,2000,"1600"
K40019,1,5/16/2023,REG1OS7SGD,1600,0
K40020,1,4/8/2023,RD88PWVMGM,3250,"9750"
K40020,1,4/22/2023,RDM9SXX1SL,3250,"6500"
K40020,1,4/28/2023,RDS28QPDQE,6500,0
K40020,2,5/26/2023,REQ2HLK7NE,13000,0
K40020,3,6/23/2023,RFN3RKEOT9,13000,0
K40020,4,7/21/2023,RGL53F2JQF,13000,0
K40021,1,6/9/2023,RF90M7277K,500,"10380"
K40021,1,6/9/2023,RF92M863XU,1500,"8880"
K40021,1,6/9/2023,RF92M9J9IK,1000,"7880"
K40021,1,6/9/2023,RF96MCNE7S,2500,"5380"
K40021,1,6/13/2023,RFD3XGIN7L,600,"4780"
K40021,1,6/27/2023,RFR53JX56T,500,"4280"
K40021,1,7/28/2023,RGS5MEJSL1,300,"3980"
K40022,1,,,500,"13100"
K40023,1,4/22/2023,RDM4T3GIL2,1625,"5675"
K40023,1,5/8/2023,RE83ZYGZNP,1200,"4475"
K40023,1,5/15/2023,REF1KSORB1,1500,"2975"
K40023,1,5/30/2023,REU9RM8KRF,100,"2875"
K40023,1,6/7/2023,RF79FN1E97,200,"2675"
K40023,1,6/7/2023,RF83IJTFOX,600,"2075"
K40023,1,6/7/2023,RF80IKY260,100,"1975"
K40023,1,6/9/2023,RF98M39WMA,350,"1625"
K40023,1,6/10/2023,RFA7PHDTXP,200,"1425"
K40023,1,6/10/2023,RFA4PIG0PU,100,"1325"
K40023,1,6/12/2023,RFC2U5Q5HY,1325,0
K40024,1,6/10/2023,RFA4QK6V3I,260,"7540"
K40024,1,6/17/2023,RFH0ABVL3Y,250,"7290"
K40024,1,6/27/2023,RFR554RMI9,400,"6890"
K40024,1,6/29/2023,RFT89VOOY6,2000,"4890"
K40024,1,7/3/2023,RG34MW82RS,260,"4630"
K40024,1,7/4/2023,RG55Q44XSF,260,"4370"
K40024,1,7/7/2023,RG79YW71UZ,3500,870
K40024,1,7/8/2023,RG914E3LZJ,870,0
K40025,1,7/2/2023,RG20JK8ZHQ,300,"4420"
K40025,1,7/7/2023,RG75WLGX53,4420,0
K40026,1,6/28/2023,RFS17SVTZL,600,"5400"
K40026,1,6/29/2023,RFT08TE1SA,325,"5075"
K40026,1,6/30/2023,RFT6ATYTDG,700,"4375"
K40026,1,7/8/2023,RG87134GYT,750,"3625"
K40026,1,7/10/2023,RGA56YQHDT,3625,0
K40026,2,7/23/2023,RGN39W03F9,500,"6000"
K40026,2,7/25/2023,RGP7E6L03D,350,"5650"
K40027,1,6/29/2023,RFT3922BI1,600,"13000"
K40027,1,6/29/2023,RFT39E7XJV,2650,"10350"
K40027,1,7/20/2023,RGK1ZJMWZX,3950,"6400"
K40027,1,7/24/2023,RGO8CU3JBS,5500,900
K40027,1,7/26/2023,RGQ2GMC5C0,250,650
K40027,1,7/28/2023,RGS9MTJN5B,50,600
K40028,1,6/29/2023,RFT79C5RHR,2250,"10750"
K40028,1,7/11/2023,RGB8A2JUMU,1000,"9750"
K40028,1,7/17/2023,RGH0SKIMRK,1000,"8750"
K40028,1,7/20/2023,RGK2ZC2PRG,8750,0
K40029,1,6/23/2023,RFN3SGDUMJ,200,"6300"
K40029,1,6/26/2023,RFQ727HPE7,200,"6100"
K40029,1,6/27/2023,RFR55320X7,200,"5900"
K40029,1,7/3/2023,RG35MZ2L7D,200,"5700"
K40029,1,7/18/2023,RGI9VJ5C07,200,"5500"
K40029,1,7/21/2023,RGL931EZ1F,"5500",0
K40029,2,7/27/2023,RGR7JYKZVD,200,"6300"
K40029,2,7/28/2023,RGS1MTJW9Z,250,"6050"
K40029,2,8/3/2023,RH3546CM2T,200,"5850"
K40030,1,7/8/2023,RG87ZRYUIN,525,"5975"
K40030,1,7/11/2023,RGB99WGLEH,500,"5475"
K40030,1,7/14/2023,RGE9HFQU0V,450,"5025"
K40030,1,7/19/2023,RGJ7X7X2NT,700,"4325"
K40030,1,7/25/2023,RGP0DR8C9G,4325,0
K40030,2,8/3/2023,RH3754RMOP,425,"6075"
K40031,1,7/27/2023,RGR2JTYM7G,500,"6600"
K40032,1,7/8/2023,RG8810L7FE,5800,0
K40033,1,7/16/2023,RGG3PPH6GJ,400,"7400"
K40033,1,7/20/2023,RGK1YA5PKR,200,"7200"
K40033,1,7/25/2023,RGP0E4ZO5S,100,"7100"
K40033,1,7/25/2023,RGP8E53CTK,100,"7000"
